               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.03519,            0.018638,             0.00459,             0.75601,             0.70985,             0.72857,             0.37842,            0.038168,            0.014523,           0.0067032,            0.006535,            0.006535,            0.006535
                  37,            0.032611,            0.017697,           0.0042753,             0.80905,             0.78321,             0.79035,             0.39323,            0.037744,            0.015037,           0.0058044,            0.006436,            0.006436,            0.006436
                  38,            0.034728,            0.019139,           0.0044192,             0.78165,             0.72314,              0.7471,             0.37231,            0.038098,            0.014598,           0.0068928,            0.006337,            0.006337,            0.006337
                  39,             0.03299,            0.017248,           0.0040087,             0.81594,             0.71171,             0.73733,             0.37031,            0.037326,             0.01451,            0.007926,            0.006238,            0.006238,            0.006238
                  40,            0.033319,            0.018176,           0.0041105,              0.7706,             0.69003,             0.70409,             0.36422,            0.037065,            0.014366,           0.0092007,            0.006139,            0.006139,            0.006139
                  41,            0.033662,            0.018029,           0.0045831,             0.81361,             0.74072,             0.74297,             0.38159,            0.037565,            0.014579,           0.0068111,             0.00604,             0.00604,             0.00604
                  42,            0.032476,            0.017595,           0.0044374,             0.85311,             0.70595,             0.76917,             0.39399,            0.037097,            0.014688,           0.0064962,            0.005941,            0.005941,            0.005941
                  43,            0.033205,            0.018667,           0.0041145,             0.78698,             0.72557,             0.74959,              0.4021,            0.036758,            0.014499,            0.006312,            0.005842,            0.005842,            0.005842
                  44,            0.032658,            0.017668,           0.0039211,             0.83267,             0.74571,             0.76558,              0.3997,            0.037181,            0.014246,           0.0068321,            0.005743,            0.005743,            0.005743
                  45,            0.031929,            0.017761,           0.0035625,             0.85386,             0.71882,              0.7777,             0.40599,            0.036468,            0.014296,           0.0067638,            0.005644,            0.005644,            0.005644
                  46,            0.032796,             0.01739,           0.0036293,             0.81199,             0.78658,              0.7964,              0.4127,            0.036482,            0.014009,           0.0064339,            0.005545,            0.005545,            0.005545
                  47,            0.031059,            0.016991,           0.0038199,             0.81441,             0.75063,             0.75488,             0.40357,            0.037466,            0.014761,           0.0075642,            0.005446,            0.005446,            0.005446
                  48,            0.031298,             0.01693,           0.0036459,             0.81104,              0.7324,              0.7563,             0.39324,            0.037328,            0.014785,           0.0074501,            0.005347,            0.005347,            0.005347
                  49,            0.030921,            0.016795,           0.0035127,             0.74378,             0.70259,              0.7113,             0.38906,            0.037559,             0.01473,           0.0069286,            0.005248,            0.005248,            0.005248
                  50,            0.031755,            0.018066,           0.0037106,             0.79186,             0.72074,              0.7277,             0.38588,            0.036889,            0.014536,           0.0062572,            0.005149,            0.005149,            0.005149
                  51,            0.030787,            0.016688,           0.0035451,             0.80167,             0.76808,             0.76674,             0.42713,            0.036557,            0.014507,           0.0070351,             0.00505,             0.00505,             0.00505
                  52,            0.031754,            0.016941,           0.0031917,             0.79254,             0.72234,             0.74754,             0.40465,               0.037,            0.014492,           0.0069775,            0.004951,            0.004951,            0.004951
                  53,            0.030313,            0.016834,           0.0034409,             0.80281,             0.75707,             0.77938,             0.42345,            0.036503,            0.014399,           0.0068703,            0.004852,            0.004852,            0.004852
                  54,            0.031535,            0.018378,           0.0040401,             0.82677,             0.73475,             0.77385,             0.43757,            0.036659,            0.014679,           0.0067873,            0.004753,            0.004753,            0.004753
                  55,            0.030076,             0.01697,           0.0034957,             0.81386,             0.77397,             0.76483,             0.43575,            0.036055,            0.014307,            0.006818,            0.004654,            0.004654,            0.004654
                  56,             0.03024,            0.015953,           0.0035424,             0.81476,             0.74249,             0.76186,                0.42,            0.036091,            0.014322,           0.0073856,            0.004555,            0.004555,            0.004555
                  57,            0.030516,            0.016946,           0.0031125,             0.74968,              0.7198,             0.72206,             0.37052,             0.03707,            0.014996,            0.007575,            0.004456,            0.004456,            0.004456
                  58,            0.030015,            0.016547,           0.0033976,              0.8003,             0.67274,             0.73478,             0.39375,            0.036657,            0.014724,           0.0072636,            0.004357,            0.004357,            0.004357
                  59,            0.029956,            0.016694,            0.003218,             0.74722,             0.70916,             0.73182,             0.39968,            0.036327,            0.014873,           0.0071693,            0.004258,            0.004258,            0.004258
                  60,                0.03,            0.016384,           0.0029352,             0.81389,             0.73682,             0.77172,             0.40308,            0.036127,            0.014757,           0.0069542,            0.004159,            0.004159,            0.004159
                  61,            0.028972,            0.015952,           0.0029695,             0.80096,             0.77859,             0.76799,             0.42278,            0.035992,            0.014834,           0.0065468,             0.00406,             0.00406,             0.00406
                  62,            0.030601,             0.01662,           0.0034252,              0.8198,              0.7822,             0.77881,             0.43296,            0.036101,            0.014368,           0.0065289,            0.003961,            0.003961,            0.003961
                  63,            0.028829,            0.017366,           0.0030881,             0.84319,             0.75872,             0.79277,              0.4323,            0.036005,            0.014464,           0.0069895,            0.003862,            0.003862,            0.003862
                  64,            0.028327,             0.01576,            0.002641,             0.80434,             0.75499,             0.77931,             0.41585,            0.035753,            0.014337,           0.0071083,            0.003763,            0.003763,            0.003763
                  65,            0.029091,            0.016377,           0.0026025,             0.85501,             0.75485,             0.78911,              0.4065,             0.03597,             0.01433,           0.0066433,            0.003664,            0.003664,            0.003664
                  66,             0.02807,            0.017025,           0.0030679,             0.81341,             0.75693,             0.77619,             0.42905,            0.035872,            0.014396,           0.0069595,            0.003565,            0.003565,            0.003565
                  67,            0.028182,             0.01659,           0.0028033,              0.8508,             0.71973,             0.78624,             0.41628,             0.03583,            0.014609,           0.0074059,            0.003466,            0.003466,            0.003466
                  68,            0.027982,            0.015966,           0.0030576,             0.74297,             0.74069,             0.73008,             0.39091,            0.036298,            0.014906,            0.007526,            0.003367,            0.003367,            0.003367
                  69,            0.027716,            0.015741,           0.0028872,             0.83202,             0.76284,             0.77903,             0.40385,            0.035964,            0.014569,           0.0084328,            0.003268,            0.003268,            0.003268
                  70,            0.027707,             0.01549,           0.0029563,             0.82076,             0.71562,             0.76354,              0.4092,            0.036515,            0.015074,           0.0079399,            0.003169,            0.003169,            0.003169
                  71,            0.027552,            0.016315,           0.0025413,             0.84044,             0.70071,             0.76606,             0.42429,            0.036428,               0.015,           0.0073372,             0.00307,             0.00307,             0.00307
                  72,             0.02785,            0.015575,           0.0027171,             0.78943,              0.7414,             0.76112,             0.40552,            0.036306,            0.014953,           0.0074432,            0.002971,            0.002971,            0.002971
                  73,            0.027787,            0.015782,           0.0027207,             0.84238,              0.6963,              0.7584,             0.39526,            0.036508,             0.01527,           0.0073994,            0.002872,            0.002872,            0.002872
                  74,            0.027139,            0.015038,           0.0021464,             0.74605,             0.71237,             0.71826,             0.39342,            0.035947,            0.014817,           0.0075134,            0.002773,            0.002773,            0.002773
                  75,            0.027508,             0.01654,           0.0027293,             0.80946,             0.72665,             0.74635,             0.39901,            0.036041,            0.014777,           0.0075462,            0.002674,            0.002674,            0.002674
                  76,            0.026944,            0.015784,           0.0019382,             0.76895,             0.73452,             0.73881,             0.39133,            0.036066,            0.014779,           0.0080982,            0.002575,            0.002575,            0.002575
                  77,             0.02713,            0.015972,           0.0024427,             0.80942,             0.71084,             0.73036,             0.40684,             0.03581,            0.015112,           0.0085629,            0.002476,            0.002476,            0.002476
                  78,            0.026535,            0.015143,           0.0022388,             0.78058,             0.72191,             0.76002,             0.42715,            0.035357,            0.014838,           0.0079746,            0.002377,            0.002377,            0.002377
                  79,             0.02684,            0.015279,           0.0026551,             0.81007,             0.73752,             0.77823,             0.43186,            0.035832,            0.014812,           0.0077831,            0.002278,            0.002278,            0.002278
                  80,             0.02666,            0.015003,           0.0024038,             0.81501,             0.75442,             0.77209,             0.42803,            0.035638,            0.014997,           0.0071503,            0.002179,            0.002179,            0.002179
                  81,             0.02627,            0.015008,           0.0027306,             0.83637,             0.72142,             0.76105,             0.42121,            0.035988,             0.01492,           0.0074226,             0.00208,             0.00208,             0.00208
                  82,            0.026536,            0.015073,           0.0023374,             0.84177,             0.71742,             0.75816,             0.41785,            0.035897,            0.014964,           0.0079033,            0.001981,            0.001981,            0.001981
                  83,            0.025725,            0.015683,           0.0020553,             0.80945,             0.73157,             0.76387,             0.40718,            0.035747,            0.015008,           0.0077869,            0.001882,            0.001882,            0.001882
                  84,            0.026035,            0.014471,           0.0020319,             0.82615,             0.70854,             0.76558,             0.39283,            0.035865,            0.014851,           0.0075947,            0.001783,            0.001783,            0.001783
                  85,            0.025588,            0.015457,           0.0021211,             0.81746,             0.72793,             0.76988,             0.41542,            0.035892,            0.014898,           0.0075943,            0.001684,            0.001684,            0.001684
                  86,            0.025927,             0.01406,           0.0024106,             0.82332,             0.70916,             0.76444,             0.40349,            0.036406,            0.014932,           0.0076176,            0.001585,            0.001585,            0.001585
                  87,            0.026319,            0.014617,           0.0023392,             0.79516,              0.7482,              0.7792,             0.42436,            0.036106,            0.015027,           0.0075998,            0.001486,            0.001486,            0.001486
                  88,            0.025862,            0.014383,           0.0019422,             0.84589,             0.72587,             0.78772,             0.41795,            0.036171,            0.015186,           0.0075863,            0.001387,            0.001387,            0.001387
                  89,            0.025118,            0.014192,            0.002015,             0.83574,             0.72228,             0.78774,             0.42491,            0.035993,            0.015298,           0.0076788,            0.001288,            0.001288,            0.001288
