               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.036122,              0.0188,            0.004859,             0.74426,             0.69112,             0.69269,             0.33409,            0.038877,            0.014749,           0.0074493,            0.006535,            0.006535,            0.006535
                  37,            0.033088,            0.017697,           0.0046015,             0.74701,             0.72437,             0.74005,             0.36283,            0.038557,            0.014968,           0.0075611,            0.006436,            0.006436,            0.006436
                  38,            0.035189,            0.019278,           0.0044866,              0.7655,             0.71659,                 0.7,             0.35126,            0.038815,            0.014879,           0.0067448,            0.006337,            0.006337,            0.006337
                  39,            0.032817,            0.017096,           0.0039596,             0.83347,             0.71384,             0.74065,             0.38194,            0.037874,            0.015083,           0.0075644,            0.006238,            0.006238,            0.006238
                  40,            0.034353,            0.018122,           0.0044929,             0.77325,             0.71618,             0.73905,                0.39,            0.037606,             0.01464,           0.0079636,            0.006139,            0.006139,            0.006139
                  41,            0.033822,            0.018016,           0.0044857,             0.81998,                0.74,             0.78628,              0.3894,            0.038309,            0.014635,           0.0068016,             0.00604,             0.00604,             0.00604
                  42,            0.032125,            0.017517,            0.004424,             0.85063,              0.6873,             0.76377,             0.39705,            0.038003,            0.015292,           0.0076824,            0.005941,            0.005941,            0.005941
                  43,             0.03382,            0.018829,           0.0042979,             0.80267,             0.70916,             0.72942,             0.39365,            0.037492,            0.014591,           0.0071594,            0.005842,            0.005842,            0.005842
                  44,            0.033056,            0.017895,           0.0037647,             0.80621,             0.72709,             0.74657,             0.39964,            0.037878,            0.014553,           0.0074627,            0.005743,            0.005743,            0.005743
                  45,            0.032765,            0.017996,            0.003913,             0.76709,             0.71049,             0.73111,             0.39618,            0.037415,            0.014524,           0.0078903,            0.005644,            0.005644,            0.005644
                  46,            0.033051,            0.017409,           0.0035882,             0.85184,             0.68929,             0.77093,             0.41525,            0.036702,            0.013976,           0.0065319,            0.005545,            0.005545,            0.005545
                  47,            0.031676,            0.017107,            0.004025,             0.80808,             0.74199,              0.7413,              0.4134,            0.037234,            0.014463,            0.006601,            0.005446,            0.005446,            0.005446
                  48,            0.031975,            0.017143,           0.0039282,             0.83006,             0.67804,             0.72352,             0.40958,            0.037138,             0.01441,           0.0076077,            0.005347,            0.005347,            0.005347
