               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.035177,             0.01875,           0.0046257,             0.76385,              0.7119,             0.71647,             0.35564,            0.038283,             0.01453,           0.0075432,            0.006535,            0.006535,            0.006535
                  37,            0.032892,            0.017758,           0.0044076,             0.83124,              0.7595,             0.77451,             0.39747,            0.038339,            0.014839,            0.007375,            0.006436,            0.006436,            0.006436
                  38,             0.03424,            0.019083,           0.0045058,             0.83479,             0.74893,             0.75389,             0.38522,            0.038878,            0.014861,           0.0072681,            0.006337,            0.006337,            0.006337
                  39,            0.032445,            0.016963,           0.0038705,             0.78595,             0.73791,             0.74257,              0.3799,              0.0385,            0.015254,           0.0071262,            0.006238,            0.006238,            0.006238
                  40,             0.03407,            0.018098,           0.0040712,             0.82502,              0.7242,             0.75625,             0.40615,            0.037123,            0.014914,           0.0072529,            0.006139,            0.006139,            0.006139
                  41,             0.03271,            0.017924,           0.0042596,             0.85251,             0.75603,             0.77478,             0.40074,            0.037353,            0.014432,           0.0068174,             0.00604,             0.00604,             0.00604
                  42,            0.032109,            0.017464,           0.0043124,             0.80593,             0.72533,             0.75599,             0.40633,            0.036983,             0.01472,            0.007222,            0.005941,            0.005941,            0.005941
                  43,            0.032762,            0.018352,           0.0040429,             0.73636,             0.77648,             0.76154,             0.42779,            0.037027,             0.01421,           0.0075413,            0.005842,            0.005842,            0.005842
                  44,            0.032543,            0.017534,           0.0037285,             0.79418,             0.76238,             0.77633,             0.39825,            0.037018,             0.01435,           0.0072136,            0.005743,            0.005743,            0.005743
                  45,            0.031994,            0.017785,           0.0037598,             0.80997,             0.71766,             0.76277,             0.39724,            0.036897,            0.014258,           0.0072094,            0.005644,            0.005644,            0.005644
                  46,            0.032328,            0.017453,           0.0035894,             0.86271,             0.73263,             0.80415,             0.40531,            0.036726,            0.014494,           0.0071861,            0.005545,            0.005545,            0.005545
                  47,            0.031332,            0.016938,           0.0037225,             0.80619,             0.74961,             0.79279,             0.42402,            0.037147,            0.015017,            0.008128,            0.005446,            0.005446,            0.005446
                  48,            0.031159,            0.016907,           0.0034729,             0.79012,             0.79597,             0.79648,             0.43359,            0.036917,            0.014524,           0.0077641,            0.005347,            0.005347,            0.005347
                  49,            0.030606,            0.016846,           0.0034683,             0.83178,             0.71172,             0.79456,              0.4469,            0.037395,            0.014828,           0.0072674,            0.005248,            0.005248,            0.005248
