               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.036177,            0.018708,           0.0043945,             0.75303,             0.70401,             0.75122,             0.37506,            0.038522,             0.01438,           0.0064705,            0.006535,            0.006535,            0.006535
                  37,            0.033515,            0.017772,            0.004472,             0.83221,             0.70014,              0.7353,             0.36975,            0.038521,            0.014728,           0.0065105,            0.006436,            0.006436,            0.006436
                  38,            0.034925,            0.019341,           0.0045523,             0.84506,             0.71215,              0.7782,             0.37565,            0.037622,            0.014532,           0.0072968,            0.006337,            0.006337,            0.006337
                  39,            0.032958,            0.017063,           0.0039926,             0.82518,              0.7184,             0.71217,             0.36647,            0.037764,            0.014749,           0.0078522,            0.006238,            0.006238,            0.006238
                  40,            0.033825,             0.01792,           0.0040094,             0.77937,             0.72445,             0.72769,             0.38303,            0.037466,            0.014766,           0.0076908,            0.006139,            0.006139,            0.006139
                  41,            0.033419,            0.018014,           0.0041872,             0.82083,             0.69207,             0.74802,             0.39046,            0.038124,            0.014767,            0.007457,             0.00604,             0.00604,             0.00604
                  42,            0.032868,            0.017484,           0.0044827,             0.83779,             0.66481,             0.73534,             0.40929,            0.037759,            0.014657,           0.0082296,            0.005941,            0.005941,            0.005941
                  43,            0.033278,            0.018518,           0.0042189,             0.77038,             0.72695,             0.73997,             0.41411,            0.036622,            0.013773,           0.0069033,            0.005842,            0.005842,            0.005842
                  44,            0.032639,            0.017725,           0.0040949,             0.84274,             0.75087,             0.78338,             0.40181,             0.03728,            0.013908,           0.0070503,            0.005743,            0.005743,            0.005743
                  45,            0.032914,            0.017777,           0.0036884,             0.81253,             0.72943,             0.75842,             0.37972,            0.037012,            0.014537,           0.0068356,            0.005644,            0.005644,            0.005644
                  46,            0.033191,            0.017551,           0.0034903,              0.8441,             0.72648,             0.77103,             0.40649,            0.037098,            0.014172,           0.0071743,            0.005545,            0.005545,            0.005545
                  47,             0.03139,            0.016959,           0.0037803,             0.84243,             0.68475,             0.75755,             0.38285,            0.037358,            0.014596,           0.0079395,            0.005446,            0.005446,            0.005446
                  48,            0.031925,            0.016992,           0.0037656,              0.8071,             0.77225,             0.78728,             0.43742,            0.036491,            0.014193,           0.0076843,            0.005347,            0.005347,            0.005347
                  49,            0.031231,             0.01707,            0.003718,             0.80228,             0.72097,             0.74289,             0.40954,            0.037191,              0.0147,           0.0072859,            0.005248,            0.005248,            0.005248
                  50,            0.032118,            0.018059,           0.0037221,             0.80895,             0.74371,             0.76929,             0.40072,            0.037172,            0.014865,           0.0074257,            0.005149,            0.005149,            0.005149
                  51,            0.031285,            0.016756,           0.0035293,             0.79043,             0.76795,             0.78533,             0.43126,            0.037197,            0.014501,            0.007119,             0.00505,             0.00505,             0.00505
                  52,            0.031758,            0.016978,           0.0032511,             0.82287,             0.78343,             0.79653,             0.40561,            0.037193,            0.014576,           0.0066875,            0.004951,            0.004951,            0.004951
                  53,            0.030574,            0.016896,            0.003587,             0.84029,              0.7006,             0.77994,             0.40169,            0.037306,            0.014753,           0.0070568,            0.004852,            0.004852,            0.004852
                  54,            0.031737,            0.018331,           0.0040323,             0.79603,             0.70046,              0.7588,             0.42861,            0.037166,            0.014808,            0.006813,            0.004753,            0.004753,            0.004753
                  55,            0.030511,            0.016778,           0.0033125,             0.83205,             0.75824,             0.78082,             0.42223,            0.036452,            0.014376,           0.0073933,            0.004654,            0.004654,            0.004654
                  56,            0.030661,            0.015762,           0.0034908,             0.85303,             0.73184,             0.77856,             0.40995,            0.037217,            0.014855,           0.0072796,            0.004555,            0.004555,            0.004555
                  57,            0.030621,            0.017011,           0.0030004,             0.81708,             0.67326,             0.74307,             0.38973,            0.037492,            0.014761,           0.0074017,            0.004456,            0.004456,            0.004456
                  58,            0.030123,            0.016477,           0.0032036,             0.84949,             0.68592,             0.74896,              0.4053,             0.03708,            0.014732,           0.0070257,            0.004357,            0.004357,            0.004357
                  59,            0.029982,             0.01658,           0.0032686,             0.77676,             0.74834,             0.74298,             0.42231,            0.036788,            0.014874,           0.0074205,            0.004258,            0.004258,            0.004258
                  60,            0.030522,             0.01639,            0.002734,             0.82275,              0.7256,             0.76444,             0.41599,            0.036584,            0.015024,           0.0066797,            0.004159,            0.004159,            0.004159
                  61,            0.029229,            0.015883,           0.0029549,             0.80904,             0.75078,             0.77109,             0.40563,            0.036699,            0.014722,           0.0062792,             0.00406,             0.00406,             0.00406
                  62,            0.030912,            0.016515,           0.0032971,             0.82703,             0.76205,             0.77089,             0.42738,             0.03644,             0.01475,           0.0066177,            0.003961,            0.003961,            0.003961
                  63,            0.029209,            0.017237,           0.0030125,             0.84503,             0.74191,             0.78857,             0.43916,            0.036535,            0.014935,           0.0072678,            0.003862,            0.003862,            0.003862
                  64,            0.028437,            0.015724,           0.0027245,             0.78838,             0.77077,             0.79204,             0.42819,            0.036887,            0.014719,           0.0076073,            0.003763,            0.003763,            0.003763
                  65,            0.029564,            0.016507,           0.0024579,             0.79824,             0.71298,             0.76864,             0.40711,            0.036922,            0.014707,           0.0082905,            0.003664,            0.003664,            0.003664
                  66,              0.0284,            0.017165,           0.0031878,             0.83906,             0.68221,             0.75334,             0.40312,            0.036988,            0.014761,           0.0081856,            0.003565,            0.003565,            0.003565
                  67,            0.028677,            0.016725,            0.002709,             0.83191,              0.6974,             0.77043,             0.39367,            0.037038,            0.015002,           0.0074867,            0.003466,            0.003466,            0.003466
                  68,            0.028586,            0.016095,           0.0029492,             0.82275,             0.65835,             0.73605,             0.38472,            0.036906,            0.015049,           0.0076786,            0.003367,            0.003367,            0.003367
                  69,            0.028042,            0.015848,           0.0028228,             0.80684,             0.73708,             0.76817,             0.42839,            0.036645,            0.014842,           0.0070751,            0.003268,            0.003268,            0.003268
                  70,            0.028065,            0.015399,           0.0028792,              0.8532,             0.71445,             0.76949,             0.42433,            0.036785,            0.015001,           0.0070187,            0.003169,            0.003169,            0.003169
                  71,            0.027565,            0.016513,           0.0023878,             0.84586,             0.71302,             0.76921,             0.41839,            0.036788,            0.014533,           0.0071434,             0.00307,             0.00307,             0.00307
                  72,            0.028257,            0.015354,           0.0028327,                0.88,             0.72815,             0.78491,             0.39842,            0.036779,             0.01492,           0.0077503,            0.002971,            0.002971,            0.002971
                  73,            0.028005,            0.015725,           0.0027177,             0.83837,             0.73142,             0.75867,             0.40689,            0.036764,            0.015176,           0.0072651,            0.002872,            0.002872,            0.002872
                  74,            0.027334,            0.015093,           0.0021617,             0.78175,             0.70134,             0.71952,             0.38905,            0.036806,            0.015115,           0.0080372,            0.002773,            0.002773,            0.002773
                  75,            0.027869,            0.016476,           0.0027601,             0.77836,             0.76703,              0.7472,             0.41968,            0.036829,            0.014837,           0.0076313,            0.002674,            0.002674,            0.002674
                  76,            0.027258,            0.015875,           0.0020122,             0.80905,             0.74585,             0.75703,             0.40829,            0.036669,            0.015224,           0.0076597,            0.002575,            0.002575,            0.002575
                  77,            0.027286,            0.016061,            0.002345,             0.81957,             0.74804,             0.74276,              0.4021,             0.03641,            0.015376,           0.0077555,            0.002476,            0.002476,            0.002476
                  78,            0.026662,            0.015018,           0.0022424,             0.84822,             0.73765,             0.78005,             0.44082,            0.035969,            0.015033,           0.0074923,            0.002377,            0.002377,            0.002377
                  79,             0.02711,             0.01543,           0.0025992,             0.85684,             0.72637,              0.7674,              0.4219,            0.036181,            0.015325,           0.0072321,            0.002278,            0.002278,            0.002278
                  80,             0.02696,            0.015056,           0.0024687,             0.87027,             0.77621,             0.79335,             0.42262,            0.035964,            0.015215,           0.0072811,            0.002179,            0.002179,            0.002179
